Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn,Customer Value_to_Use_Freq,Seconds_Used_To_freq
0.0,0.0,32.0,0.0,2725.0,17.0,2.0,15.0,3.0,1.0,1,30.0,117.68,0.0,6.922352941176471,160.2941176470588
0.0,1.0,30.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1,55.0,0.0,1.0,4.236490036231884,60.055842970176506
1.0,0.0,34.0,0.0,2475.0,47.0,168.0,21.0,2.0,1.0,1,25.0,869.49,0.0,18.499787234042554,52.659574468085104
5.0,0.0,30.0,1.0,2885.0,18.0,7.0,10.0,3.0,1.0,1,30.0,144.12,0.0,8.006666666666668,160.27777777777777
9.0,0.0,39.0,0.0,2550.0,39.0,260.0,16.0,3.0,1.0,1,30.0,1143.56,0.0,29.32205128205128,65.38461538461539
0.0,0.0,31.0,0.0,6240.0,76.0,171.0,20.0,3.0,1.0,1,30.0,936.64,0.0,12.32421052631579,82.10526315789474
2.0,0.0,35.0,0.0,2073.0,30.0,1.0,4.0,3.0,1.0,1,30.0,88.12,0.0,2.9373333333333336,69.1
3.0,0.0,23.0,0.0,730.0,25.0,3.0,8.0,2.0,1.0,1,25.0,47.475,0.0,1.899,29.2
6.0,1.0,38.0,0.0,2685.0,41.0,10.0,15.0,3.0,1.0,2,30.0,149.04,1.0,3.635121951219512,65.48780487804878
8.0,0.0,39.0,0.0,1833.0,49.0,0.0,19.0,3.0,1.0,2,30.0,75.28,0.0,1.536326530612245,37.40816326530612
5.0,0.0,38.0,0.0,438.0,8.0,7.0,4.0,3.0,1.0,2,30.0,45.84,1.0,5.73,54.75
1.0,0.0,32.0,2.0,6660.0,110.0,264.0,31.0,2.0,2.0,1,25.0,1492.65,0.0,13.569545454545455,60.54545454545455
9.0,0.0,40.0,1.0,2665.0,45.0,292.0,20.0,3.0,1.0,1,30.0,1276.4,0.0,28.364444444444448,59.22222222222222
7.0,0.0,28.0,0.0,920.0,32.0,20.0,12.0,2.0,1.0,1,25.0,132.84,0.0,4.15125,28.75
1.0,0.0,35.0,1.0,743.0,9.0,5.0,1.0,5.0,1.0,1,55.0,18.78,0.0,2.086666666666667,82.55555555555556
0.0,0.0,34.0,0.0,2595.0,19.0,0.0,14.0,3.0,1.0,1,30.0,104.56,0.0,5.503157894736842,136.57894736842104
18.0,0.0,40.0,0.0,3143.0,70.0,36.0,34.0,3.0,1.0,2,30.0,272.52,0.0,3.893142857142857,44.9
5.0,0.0,41.0,0.0,4065.0,71.0,6.0,16.0,3.0,1.0,1,30.0,189.44,0.0,2.668169014084507,57.25352112676056
8.0,0.0,42.0,1.0,13853.0,171.0,10.0,48.0,3.0,1.0,1,30.0,600.96,0.0,3.514385964912281,81.01169590643275
0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2,25.0,0.0,1.0,4.236490036231884,60.055842970176506
3.0,0.0,37.0,0.0,7508.0,127.0,384.0,43.0,2.0,1.0,1,25.0,2022.0192142693083,0.0,16.311614173228346,59.118110236220474
11.0,0.0,36.0,0.0,2858.0,65.0,360.0,22.0,2.0,1.0,1,25.0,1751.535,0.0,26.94669230769231,43.96923076923077
0.0,0.0,37.0,0.0,1683.0,47.0,0.0,33.0,1.0,1.0,1,15.0,95.15,0.0,2.024468085106383,35.808510638297875
18.0,0.0,24.0,1.0,15770.0,226.0,0.0,75.16185358381713,2.0,1.0,1,25.0,719.82,0.0,3.185044247787611,69.77876106194691
5.0,0.0,37.0,0.0,1370.0,40.0,24.0,7.0,3.0,1.0,2,30.0,152.4,0.0,3.81,34.25
3.0,0.0,10.0,2.0,1603.0,25.0,32.0,11.0,3.0,1.0,1,30.0,193.12,1.0,7.7248,64.12
17.0,0.0,34.0,1.0,14775.0,216.0,42.0,28.0,2.0,1.0,1,25.0,863.595,0.0,3.998125,68.40277777777777
5.0,0.0,39.0,0.0,553.0,14.0,39.0,8.0,3.0,1.0,2,30.0,178.68,1.0,12.762857142857143,39.5
7.0,0.0,33.0,3.0,7385.0,107.0,35.0,37.0,5.0,1.0,1,55.0,164.88,0.0,1.5409345794392524,69.01869158878505
0.0,0.0,25.0,0.0,1378.0,39.0,55.0,70.0,4.0,1.0,1,45.0,172.925,0.0,4.43397435897436,35.333333333333336
6.0,0.0,37.0,1.0,2895.0,59.0,207.0,27.0,2.0,1.0,1,25.0,1064.43,0.0,18.04118644067797,49.067796610169495
0.0,0.0,36.0,1.0,338.0,4.0,4.0,2.0,5.0,1.0,1,55.0,11.13,0.0,2.7825,84.5
7.0,1.0,9.0,3.0,2088.0,29.0,21.0,22.0,3.0,1.0,1,30.0,168.68,1.0,5.816551724137931,72.0
8.0,0.0,41.0,2.0,365.0,9.0,12.0,4.0,3.0,1.0,1,30.0,62.96,1.0,6.995555555555556,40.55555555555556
0.0,0.0,40.0,0.0,570.0,14.0,1.0,10.0,2.0,1.0,2,25.0,30.78,0.0,2.198571428571429,40.714285714285715
2.0,0.0,34.0,1.0,6380.0,92.0,0.0,24.0,5.0,1.0,1,55.0,97.08,0.0,1.0552173913043479,69.34782608695652
15.0,0.0,42.0,3.0,9115.0,127.0,152.0,44.0,3.0,1.0,1,30.0,977.68,0.0,7.698267716535432,71.77165354330708
7.0,0.0,33.0,0.0,1890.0,48.0,35.0,18.0,3.0,1.0,2,30.0,217.52,0.0,4.531666666666667,39.375
10.0,0.0,37.0,0.0,5693.0,100.0,30.0,27.0,2.0,1.0,1,25.0,395.685,1.0,3.95685,56.93
4.0,0.0,36.0,1.0,2900.0,25.0,5.0,16.0,3.0,1.0,1,30.0,137.0,0.0,5.48,116.0
8.0,0.0,42.0,0.0,4325.0,75.0,13.0,21.0,3.0,1.0,1,30.0,228.0,0.0,3.04,57.666666666666664
0.0,0.0,34.0,0.0,3413.0,76.0,0.0,26.0,2.0,1.0,1,25.0,157.005,0.0,2.0658552631578946,44.9078947368421
2.0,0.0,29.0,0.0,6705.0,95.0,4.0,18.0,4.0,1.0,1,45.0,180.0,0.0,1.894736842105263,70.57894736842105
9.0,0.0,41.0,2.0,6798.0,77.0,118.0,41.0,2.0,1.0,1,25.0,840.375,0.0,10.91396103896104,88.28571428571429
0.0,1.0,38.0,0.0,403.0,3.0,12.0,6.0,4.0,1.0,2,45.0,40.15,1.0,13.383333333333333,134.33333333333334
0.0,0.0,33.0,2.0,6255.0,105.0,246.0,33.0,2.0,2.0,1,25.0,1393.2,0.0,13.268571428571429,59.57142857142857
11.0,0.0,37.0,0.0,4603.0,71.0,2.0,33.0,1.0,1.0,1,15.0,268.07,0.0,3.7756338028169014,64.83098591549296
9.0,1.0,36.0,0.0,2268.0,44.0,34.0,31.0,3.0,1.0,2,30.0,228.48,1.0,5.192727272727272,51.54545454545455
18.0,0.0,38.0,2.0,9305.0,121.0,119.0,41.0,3.0,1.0,1,30.0,853.04,0.0,7.049917355371901,76.90082644628099
12.0,0.0,44.0,2.0,4775.0,93.0,17.0,31.0,3.0,1.0,1,30.0,262.72,0.0,2.82494623655914,51.344086021505376
5.0,0.0,20.0,1.0,1810.0,31.0,26.0,13.0,3.0,1.0,1,30.0,177.64,0.0,5.7303225806451605,58.38709677419355
5.0,0.0,38.0,0.0,1638.0,44.0,0.0,2.0,3.0,1.0,2,30.0,67.28,0.0,1.529090909090909,37.22727272727273
3.0,0.0,34.0,0.0,3410.0,73.0,20.0,24.0,2.0,1.0,1,25.0,246.735,0.0,3.3799315068493154,46.71232876712329
11.0,0.0,35.0,0.0,3235.0,44.0,11.0,16.0,3.0,1.0,2,30.0,175.16,1.0,3.980909090909091,73.52272727272727
5.0,0.0,13.0,0.0,8437.0,164.0,57.0,35.0,4.0,1.0,1,45.0,357.525,0.0,2.1800304878048777,51.44512195121951
0.0,0.0,35.0,0.0,958.0,14.0,0.0,6.0,3.0,1.0,1,30.0,38.88,0.0,2.777142857142857,68.42857142857143
7.0,0.0,12.0,0.0,8513.0,159.0,34.0,34.0,4.0,1.0,1,45.0,301.8,0.0,1.8981132075471698,53.540880503144656
0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2,45.0,0.0,0.0,4.236490036231884,60.055842970176506
0.0,0.0,36.0,0.0,2790.0,21.0,409.8875997145183,6.0,3.0,1.0,1,30.0,2016.44,0.0,96.02095238095238,132.85714285714286
16.0,0.0,39.0,1.0,3965.0,82.0,7.0,26.0,3.0,1.0,1,30.0,189.88,0.0,2.315609756097561,48.353658536585364
6.0,0.0,35.0,4.0,7080.0,122.0,303.0,37.0,3.0,2.0,1,30.0,1500.08,0.0,12.295737704918032,58.032786885245905
5.0,0.0,11.0,2.0,4505.0,45.0,213.0,9.0,3.0,1.0,1,30.0,1034.0,0.0,22.977777777777778,100.11111111111111
12.0,0.0,43.0,2.0,11725.0,164.0,26.0,53.0,4.0,1.0,1,45.0,362.225,0.0,2.208689024390244,71.4939024390244
10.0,0.0,34.0,0.0,1390.0,26.0,43.0,11.0,4.0,1.0,2,45.0,142.9,0.0,5.496153846153846,53.46153846153846
6.0,0.0,37.0,0.0,1858.0,25.0,7.0,4.0,3.0,1.0,1,30.0,103.32,0.0,4.1328,74.32
29.419593208926564,1.0,36.0,4.0,16560.0,241.70055817253422,18.0,75.16185358381713,2.0,2.0,1,25.0,837.54,0.0,3.3235714285714284,65.71428571428571
9.0,0.0,39.0,0.0,6423.0,71.0,94.0,24.0,2.0,1.0,1,25.0,715.23,0.0,10.073661971830987,90.46478873239437
0.0,0.0,22.0,0.0,2805.0,49.0,0.0,17.0,3.0,1.0,1,30.0,114.16,0.0,2.329795918367347,57.244897959183675
5.0,0.0,26.0,0.0,1070.0,13.0,23.0,3.0,4.0,1.0,2,45.0,84.575,0.0,6.505769230769231,82.3076923076923
6.0,0.0,25.0,0.0,395.0,19.0,3.0,5.0,2.0,1.0,2,25.0,32.13,0.0,1.6910526315789476,20.789473684210527
19.0,0.0,37.0,2.0,6528.0,109.0,34.0,24.0,2.0,1.0,1,25.0,451.665,0.0,4.143715596330275,59.88990825688074
3.0,0.0,28.0,1.0,885.0,13.0,26.0,5.0,4.0,1.0,1,45.0,87.45,0.0,6.726923076923077,68.07692307692308
0.0,0.0,32.0,0.0,650.0,27.0,6.0,18.0,3.0,1.0,2,30.0,51.08,0.0,1.891851851851852,24.074074074074073
7.0,1.0,30.0,0.0,2990.0,35.0,1.0,15.0,2.0,1.0,2,25.0,140.625,1.0,4.017857142857143,85.42857142857143
8.0,0.0,36.0,1.0,3320.0,31.0,409.8875997145183,6.0,3.0,1.0,1,30.0,2022.0192142693083,0.0,66.25935483870968,107.09677419354838
8.0,0.0,39.0,0.0,3650.0,84.0,36.0,31.0,2.0,1.0,1,25.0,330.03,0.0,3.928928571428571,43.45238095238095
15.0,0.0,12.0,0.0,9237.0,171.0,72.0,41.0,4.0,1.0,1,45.0,415.2,0.0,2.4280701754385965,54.01754385964912
18.0,0.0,31.0,1.0,14835.0,213.0,39.0,29.0,2.0,1.0,1,25.0,852.66,0.0,4.003098591549295,69.64788732394366
4.0,0.0,14.0,2.0,4390.0,46.0,223.0,11.0,3.0,1.0,1,30.0,1069.44,0.0,23.248695652173915,95.43478260869566
18.0,0.0,38.0,2.0,6123.0,104.0,33.0,26.0,2.0,1.0,1,25.0,428.715,0.0,4.122259615384615,58.875
5.0,1.0,37.0,0.0,305.0,6.0,7.0,2.0,3.0,1.0,2,30.0,40.44,1.0,6.739999999999999,50.833333333333336
9.0,0.0,35.0,0.0,2153.0,38.0,2.0,27.0,3.0,1.0,2,30.0,95.64,1.0,2.5168421052631578,56.6578947368421
14.0,0.0,46.0,3.0,3660.0,43.0,409.8875997145183,16.0,4.0,1.0,1,45.0,1355.075,0.0,31.513372093023257,85.11627906976744
18.0,0.0,34.0,5.506072783915396,10320.0,88.0,3.0,43.0,4.0,1.0,1,45.0,267.7,0.0,3.0420454545454545,117.27272727272727
3.0,0.0,35.0,0.0,4123.0,87.0,3.0,26.0,2.0,1.0,1,25.0,202.95,0.0,2.332758620689655,47.39080459770115
12.0,0.0,40.0,5.0,7350.0,124.0,288.0,39.0,3.0,2.0,1,30.0,1450.96,0.0,11.701290322580645,59.274193548387096
4.0,0.0,29.0,2.0,6965.0,110.0,263.0,32.0,2.0,2.0,1,25.0,1501.875,0.0,13.653409090909092,63.31818181818182
0.0,1.0,34.0,0.0,323.0,1.0,2.0,2.0,4.0,1.0,2,45.0,13.1,1.0,13.1,162.0409466248351
24.0,0.0,21.0,3.0,6758.0,150.0,97.0,46.0,2.0,2.0,1,25.0,747.36,0.0,4.9824,45.053333333333335
16.0,0.0,33.0,0.0,960.0,35.0,25.0,13.0,3.0,1.0,2,30.0,139.8,0.0,3.9942857142857147,27.428571428571427
10.0,0.0,26.0,1.0,1340.0,38.0,51.0,17.0,2.0,1.0,1,25.0,291.51,0.0,7.671315789473684,35.26315789473684
10.0,0.0,37.0,1.0,13898.0,167.0,7.0,41.0,3.0,1.0,1,30.0,590.6,0.0,3.5365269461077844,83.22155688622755
5.0,0.0,15.0,0.0,2000.0,26.0,27.0,15.0,2.0,1.0,1,25.0,212.67,0.0,8.179615384615385,76.92307692307692
20.0,0.0,36.0,2.0,14835.0,219.0,47.0,30.0,3.0,1.0,1,30.0,790.16,0.0,3.608036529680365,67.73972602739725
4.0,0.0,39.0,1.0,2475.0,45.0,317.0,22.0,4.0,1.0,1,45.0,855.5,0.0,19.011111111111113,55.0
11.0,0.0,16.0,0.0,8527.0,166.0,55.0,42.0,5.0,1.0,1,55.0,212.895,0.0,1.2825,51.36746987951807
6.0,0.0,35.0,1.0,8620.0,114.0,128.0,38.0,3.0,1.0,1,30.0,861.36,0.0,7.555789473684211,75.6140350877193
9.0,0.0,36.0,0.0,2375.0,55.0,46.0,20.0,3.0,1.0,2,30.0,281.2,0.0,5.112727272727272,43.18181818181818
14.0,0.0,36.0,3.0,7800.0,114.0,29.0,24.0,5.0,1.0,1,55.0,162.21,0.0,1.4228947368421054,68.42105263157895
11.0,0.0,41.0,1.0,2533.0,62.0,369.0,28.0,3.0,1.0,1,30.0,1579.8,0.0,25.480645161290322,40.854838709677416
2.0,0.0,36.0,0.0,2180.0,43.0,154.0,8.0,2.0,1.0,1,25.0,793.035,0.0,18.44267441860465,50.69767441860465
5.0,0.0,35.0,0.0,1855.0,45.0,47.0,23.0,3.0,1.0,2,30.0,264.0,0.0,5.866666666666666,41.22222222222222
10.0,0.0,40.0,2.0,4083.0,91.0,14.0,32.0,3.0,1.0,1,30.0,222.96,0.0,2.45010989010989,44.86813186813187
8.0,0.0,38.0,2.0,6833.0,81.0,140.0,41.0,2.0,1.0,1,25.0,941.13,0.0,11.61888888888889,84.35802469135803
2.0,0.0,38.0,1.0,6095.0,81.0,168.0,28.0,3.0,1.0,1,30.0,919.04,0.0,11.346172839506172,75.24691358024691
8.0,0.0,35.0,2.0,7090.0,103.0,21.0,24.0,5.0,1.0,1,55.0,139.395,0.0,1.353349514563107,68.83495145631068
6.0,1.0,11.0,2.0,1602.0,24.0,0.0,6.0,3.0,1.0,1,30.0,65.04,1.0,2.7100000000000004,66.75
0.0,0.0,29.0,0.0,3413.0,70.0,0.0,25.0,2.0,1.0,1,25.0,156.735,0.0,2.2390714285714286,48.75714285714286
6.0,0.0,37.0,0.0,1853.0,50.0,338.0,9.0,2.0,1.0,1,25.0,1606.635,0.0,32.1327,37.06
23.0,0.0,29.0,0.0,1000.0,43.0,8.0,13.0,2.0,1.0,2,25.0,82.935,1.0,1.928720930232558,23.25581395348837
3.0,0.0,36.0,0.0,5803.0,90.0,9.0,13.0,2.0,1.0,1,25.0,305.685,0.0,3.3965,64.47777777777777
8.0,0.0,38.0,2.0,2960.0,49.0,306.0,33.0,3.0,1.0,1,30.0,1344.36,0.0,27.435918367346936,60.40816326530612
8.0,0.0,43.0,2.0,6760.0,96.0,201.0,32.0,3.0,1.0,1,30.0,1078.24,0.0,11.231666666666667,70.41666666666667
14.0,0.0,40.0,3.0,7515.0,103.0,201.0,28.0,3.0,1.0,1,30.0,1108.72,0.0,10.764271844660195,72.96116504854369
7.0,0.0,43.0,3.0,643.0,16.0,19.0,5.0,5.0,1.0,1,55.0,38.385,0.0,2.3990625,40.1875
2.0,0.0,36.0,0.0,2870.0,66.0,4.0,11.0,2.0,1.0,1,25.0,150.12,0.0,2.2745454545454544,43.484848484848484
0.0,0.0,36.0,0.0,2088.0,52.0,0.0,31.0,1.0,1.0,1,15.0,117.7,0.0,2.2634615384615384,40.15384615384615
3.0,0.0,36.0,0.0,5858.0,92.0,2.0,10.0,2.0,1.0,1,25.0,276.75,0.0,3.0081521739130435,63.67391304347826
21.0,0.0,19.0,2.0,6698.0,147.0,92.0,44.0,2.0,2.0,1,25.0,722.025,0.0,4.911734693877551,45.564625850340136
1.0,0.0,37.0,0.0,3805.0,72.0,0.0,25.0,3.0,1.0,1,30.0,155.08,0.0,2.153888888888889,52.84722222222222
4.0,0.0,18.0,3.0,2628.0,41.0,34.0,21.0,3.0,1.0,1,30.0,242.76,0.0,5.9209756097560975,64.09756097560975
5.0,0.0,38.0,0.0,305.0,6.0,7.0,2.0,5.0,1.0,1,55.0,15.165,0.0,2.5275,50.833333333333336
2.0,0.0,40.0,0.0,180.0,8.0,11.0,5.0,2.0,1.0,2,25.0,57.96,1.0,7.245,22.5
0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1,30.0,0.0,0.0,4.236490036231884,60.055842970176506
0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1,55.0,0.0,0.0,4.236490036231884,60.055842970176506
0.0,0.0,33.0,0.0,5433.0,81.0,0.0,5.0,2.0,1.0,1,25.0,248.13,0.0,3.0633333333333335,67.07407407407408
2.0,0.0,31.0,0.0,1585.0,42.0,28.0,16.0,3.0,1.0,2,30.0,177.08,0.0,4.2161904761904765,37.73809523809524
27.0,0.0,31.0,3.0,16265.0,239.0,9.0,75.16185358381713,2.0,1.0,1,25.0,783.18,0.0,3.2769037656903763,68.05439330543933
0.0,0.0,35.0,1.0,148.0,4.0,29.0,4.0,5.0,1.0,1,55.0,45.78,0.0,11.445,37.0
9.0,0.0,43.0,1.0,13773.0,175.0,8.0,45.0,3.0,1.0,1,30.0,589.92,0.0,3.3709714285714285,78.70285714285714
7.0,0.0,39.0,0.0,495.0,7.0,16.0,5.0,2.0,1.0,2,25.0,94.59,1.0,13.512857142857143,70.71428571428571
0.0,0.0,36.0,0.0,628.0,7.0,9.0,4.0,4.0,1.0,2,45.0,38.375,1.0,5.482142857142857,89.71428571428571
4.0,0.0,38.0,1.0,1728.0,28.0,5.0,8.0,4.0,1.0,1,45.0,56.4,0.0,2.0142857142857142,61.714285714285715
18.0,0.0,37.0,5.506072783915396,10310.0,95.0,5.0,45.0,4.0,2.0,1,45.0,272.625,0.0,2.8697368421052634,108.52631578947368
12.0,0.0,26.0,2.0,2260.0,42.0,50.0,22.0,3.0,1.0,1,30.0,292.08,0.0,6.954285714285714,53.80952380952381
5.0,0.0,40.0,0.0,2098.0,54.0,7.0,20.0,2.0,1.0,1,25.0,128.34,0.0,2.376666666666667,38.851851851851855
4.0,1.0,34.0,0.0,2800.0,41.0,34.0,18.0,3.0,1.0,2,30.0,249.64,1.0,6.088780487804878,68.29268292682927
14.0,0.0,44.0,2.0,4755.0,79.0,22.0,23.0,3.0,1.0,1,30.0,281.36,0.0,3.5615189873417723,60.18987341772152
